,,,,,,,,,
REF_STATE_NAME,REF_COUNTY_NAME,REF_COMMUN_NAME,PRODUCT_EFFECTIVE_DATE,,,,,,
,,BULLOCK COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MIDWAY, TOWN OF",9/11/09,,,,,,
,,"MIDWAY, TOWN OF Total",,,,,,,
,,"UNION SPRINGS, CITY OF",9/11/09,,,,,,
,,"UNION SPRINGS, CITY OF Total",,,,,,,
,BULLOCK COUNTY Total,,,,,,,,
,BUTLER COUNTY,BUTLER COUNTY ALL JURISDICTIONS,9/11/09,,,,,,
,,BUTLER COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BUTLER COUNTY UNINCORPORATED AREAS,9/11/09,,,,,,
,,BUTLER COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"GEORGIANA, CITY OF",9/11/09,,,,,,
,,"GEORGIANA, CITY OF Total",,,,,,,
,,"GREENVILLE, CITY OF",9/11/09,,,,,,
,,"GREENVILLE, CITY OF Total",,,,,,,
,,"MCKENZIE, TOWN OF",9/11/09,,,,,,
,,"MCKENZIE, TOWN OF Total",,,,,,,
,BUTLER COUNTY Total,,,,,,,,
,CALHOUN COUNTY,"ANNISTON, CITY OF",3/16/16,,,,,,
,,"ANNISTON, CITY OF Total",,,,,,,
,,CALHOUN COUNTY ALL JURISDICTIONS,3/16/16,,,,,,
,,CALHOUN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CALHOUN COUNTY UNINCORPORATED AREAS,3/16/16,,,,,,
,,CALHOUN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"HOBSON CITY, TOWN OF",3/16/16,,,,,,
,,"HOBSON CITY, TOWN OF Total",,,,,,,
,,"JACKSONVILLE, CITY OF",3/16/16,,,,,,
,,"JACKSONVILLE, CITY OF Total",,,,,,,
,,"OHATCHEE, TOWN OF",3/16/16,,,,,,
,,"OHATCHEE, TOWN OF Total",,,,,,,
,,"OXFORD, CITY OF",3/16/16,,,,,,
,,"OXFORD, CITY OF Total",,,,,,,
,,"PIEDMONT, CITY OF",3/16/16,,,,,,
,,"PIEDMONT, CITY OF Total",,,,,,,
,,"WEAVER, CITY OF",3/16/16,,,,,,
,,"WEAVER, CITY OF Total",,,,,,,
,CALHOUN COUNTY Total,,,,,,,,
,CHAMBERS COUNTY,CHAMBERS COUNTY ALL JURISDICTIONS,2/18/11,,,,,,
,,CHAMBERS COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CHAMBERS COUNTY UNINCORPORATED AREAS,2/18/11,,,,,,
,,CHAMBERS COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"FIVE POINTS, TOWN OF",2/18/11,,,,,,
,,"FIVE POINTS, TOWN OF Total",,,,,,,
,,"LAFAYETTE, CITY OF",2/18/11,,,,,,
,,"LAFAYETTE, CITY OF Total",,,,,,,
,,"LANETT, CITY OF",2/18/11,,,,,,
,,"LANETT, CITY OF Total",,,,,,,
,,"VALLEY, CITY OF",2/18/11,,,,,,
,,"VALLEY, CITY OF Total",,,,,,,
,,"WAVERLY, CITY OF ",2/18/11,,,,,,
,,"WAVERLY, CITY OF  Total",,,,,,,
,CHAMBERS COUNTY Total,,,,,,,,
,CHEROKEE COUNTY,"CEDAR BLUFF,TOWN OF",1/19/11,,,,,,
,,"CEDAR BLUFF,TOWN OF Total",,,,,,,
,,"CENTRE, CITY OF",3/16/16,,,,,,
,,"CENTRE, CITY OF Total",,,,,,,
,,CHEROKEE COUNTY ALL JURISDICTIONS,3/16/16,,,,,,
,,CHEROKEE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CHEROKEE COUNTY UNINCORPORATED AREAS,3/16/16,,,,,,
,,CHEROKEE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"GAYLESVILLE, TOWN OF",1/19/11,,,,,,
,,"GAYLESVILLE, TOWN OF Total",,,,,,,
,,"LEESBURG, CITY OF",1/19/11,,,,,,
,,"LEESBURG, CITY OF Total",,,,,,,
,,"SAND ROCK, TOWN OF",1/19/11,,,,,,
,,"SAND ROCK, TOWN OF Total",,,,,,,
,CHEROKEE COUNTY Total,,,,,,,,
,CHILTON COUNTY,"CALERA, CITY OF",2/20/13,,,,,,
,,"CALERA, CITY OF Total",,,,,,,
,,CHILTON COUNTY ALL JURISDICTIONS,3/16/09,,,,,,
,,CHILTON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CHILTON COUNTY UNINCORPORATED AREAS,3/16/09,,,,,,
,,CHILTON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CLANTON, CITY OF",3/16/09,,,,,,
,,"CLANTON, CITY OF Total",,,,,,,
,,"JEMISON, TOWN OF",3/16/09,,,,,,
,,"JEMISON, TOWN OF Total",,,,,,,
,,"MAPLESVILLE, TOWN OF",3/16/09,,,,,,
,,"MAPLESVILLE, TOWN OF Total",,,,,,,
,,"THORSBY, TOWN OF",3/16/09,,,,,,
,,"THORSBY, TOWN OF Total",,,,,,,
,CHILTON COUNTY Total,,,,,,,,
,CHOCTAW COUNTY,"BUTLER, CITY OF",9/3/10,,,,,,
,,"BUTLER, CITY OF Total",,,,,,,
,,CHOCTAW COUNTY ALL JURISDICTIONS,9/3/10,,,,,,
,,CHOCTAW COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CHOCTAW COUNTY UNINCORPORATED AREAS,9/3/10,,,,,,
,,CHOCTAW COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"GILBERTOWN, TOWN OF",9/3/10,,,,,,
,,"GILBERTOWN, TOWN OF Total",,,,,,,
,,"LISMAN, TOWN OF",9/3/10,,,,,,
,,"LISMAN, TOWN OF Total",,,,,,,
,,"NEEDHAM, TOWN OF",9/3/10,,,,,,
,,"NEEDHAM, TOWN OF Total",,,,,,,
,,"PENNINGTON, TOWN OF",9/3/10,,,,,,
,,"PENNINGTON, TOWN OF Total",,,,,,,
,,"SILAS, TOWN OF",9/3/10,,,,,,
,,"SILAS, TOWN OF Total",,,,,,,
,,"TOXEY, TOWN OF",9/3/10,,,,,,
,,"TOXEY, TOWN OF Total",,,,,,,
,CHOCTAW COUNTY Total,,,,,,,,
,CLARKE COUNTY,CLARKE COUNTY ALL JURISDICTIONS,7/17/12,,,,,,
,,CLARKE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CLARKE COUNTY UNINCORPORATED AREAS,7/17/12,,,,,,
,,CLARKE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"COFFEEVILLE, TOWN OF",7/17/12,,,,,,
,,"COFFEEVILLE, TOWN OF Total",,,,,,,
,,"FULTON, TOWN OF",7/17/12,,,,,,
,,"FULTON, TOWN OF Total",,,,,,,
,,"GROVE HILL, TOWN OF",7/17/12,,,,,,
,,"GROVE HILL, TOWN OF Total",,,,,,,
,,"JACKSON, CITY OF",7/17/12,,,,,,
,,"JACKSON, CITY OF Total",,,,,,,
,,"THOMASVILLE, CITY OF",7/17/12,,,,,,
,,"THOMASVILLE, CITY OF Total",,,,,,,
,CLARKE COUNTY Total,,,,,,,,
,CLAY COUNTY,"ASHLAND, TOWN OF",3/17/10,,,,,,
,,"ASHLAND, TOWN OF Total",,,,,,,
,,CLAY COUNTY ALL JURISDICTIONS,3/17/10,,,,,,
,,CLAY COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CLAY COUNTY UNINCORPORATED AREAS,3/17/10,,,,,,
,,CLAY COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LINEVILLE, TOWN OF",3/17/10,,,,,,
,,"LINEVILLE, TOWN OF Total",,,,,,,
,CLAY COUNTY Total,,,,,,,,
,CLEBURNE COUNTY,CLEBURNE COUNTY ALL JURISDICTIONS,8/16/11,,,,,,
,,CLEBURNE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CLEBURNE COUNTY UNINCORPORATED AREAS,8/16/11,,,,,,
,,CLEBURNE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"EDWARDSVILLE, TOWN OF",8/16/11,,,,,,
,,"EDWARDSVILLE, TOWN OF Total",,,,,,,
,,"FRUITHURST, CITY OF",8/16/11,,,,,,
,,"FRUITHURST, CITY OF Total",,,,,,,
,,"HACKLEBURG, TOWN OF ",10/19/10,,,,,,
,,"HACKLEBURG, TOWN OF  Total",,,,,,,
,,"HEFLIN, CITY OF",8/16/11,,,,,,
,,"HEFLIN, CITY OF Total",,,,,,,
,,"RANBURNE, TOWN OF",8/16/11,,,,,,
,,"RANBURNE, TOWN OF Total",,,,,,,
,CLEBURNE COUNTY Total,,,,,,,,
,COFFEE COUNTY,COFFEE COUNTY ALL JURISDICTIONS,5/2/16,,,,,,
,,COFFEE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,COFFEE COUNTY UNINCORPORATED AREAS,5/2/16,,,,,,
,,COFFEE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"ELBA, CITY OF",8/19/10,,,,,,
,,"ELBA, CITY OF Total",,,,,,,
,,"ENTERPRISE, CITY OF",5/2/16,,,,,,
,,"ENTERPRISE, CITY OF Total",,,,,,,
,,"KINSTON, TOWN OF",8/19/10,,,,,,
,,"KINSTON, TOWN OF Total",,,,,,,
,,"NEW BROCKTON, TOWN OF",5/2/16,,,,,,
,,"NEW BROCKTON, TOWN OF Total",,,,,,,
,COFFEE COUNTY Total,,,,,,,,
,COLBERT COUNTY,"CHEROKEE, CITY OF",2/17/10,,,,,,
,,"CHEROKEE, CITY OF Total",,,,,,,
,,COLBERT COUNTY ALL JURISDICTIONS,2/17/10,,,,,,
,,COLBERT COUNTY ALL JURISDICTIONS Total,,,,,,,
,,COLBERT COUNTY UNINCORPORATED AREAS,2/17/10,,,,,,
,,COLBERT COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LEIGHTON, CITY OF",2/17/10,,,,,,
,,"LEIGHTON, CITY OF Total",,,,,,,
,,"LITTLEVILLE, TOWN OF",2/17/10,,,,,,
,,"LITTLEVILLE, TOWN OF Total",,,,,,,
,,"MUSCLE SHOALS, CITY OF",2/17/10,,,,,,
,,"MUSCLE SHOALS, CITY OF Total",,,,,,,
,,"SHEFFIELD, CITY OF",2/17/10,,,,,,
,,"SHEFFIELD, CITY OF Total",,,,,,,
,,"TUSCUMBIA, CITY OF",2/17/10,,,,,,
,,"TUSCUMBIA, CITY OF Total",,,,,,,
,COLBERT COUNTY Total,,,,,,,,
,CONECUH COUNTY,"CASTLEBERRY, TOWN OF",11/4/09,,,,,,
,,"CASTLEBERRY, TOWN OF Total",,,,,,,
,,CONECUH COUNTY ALL JURISDICTIONS,11/4/09,,,,,,
,,CONECUH COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CONECUH COUNTY UNINCORPORATED AREAS,11/4/09,,,,,,
,,CONECUH COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"EVERGREEN, CITY OF",11/4/09,,,,,,
,,"EVERGREEN, CITY OF Total",,,,,,,
,,"REPTON, TOWN OF",11/4/09,,,,,,
,,"REPTON, TOWN OF Total",,,,,,,
,CONECUH COUNTY Total,,,,,,,,
,COOSA COUNTY,COOSA COUNTY ALL JURISDICTIONS,11/26/10,,,,,,
,,COOSA COUNTY ALL JURISDICTIONS Total,,,,,,,
,,COOSA COUNTY UNINCORPORATED AREAS,11/26/10,,,,,,
,,COOSA COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"GOODWATER, TOWN OF",11/26/10,,,,,,
,,"GOODWATER, TOWN OF Total",,,,,,,
,,"KELLYTON, TOWN OF",11/26/10,,,,,,
,,"KELLYTON, TOWN OF Total",,,,,,,
,,"ROCKFORD, TOWN OF",11/26/10,,,,,,
,,"ROCKFORD, TOWN OF Total",,,,,,,
,COOSA COUNTY Total,,,,,,,,
,COVINGTON COUNTY,"ANDALUSIA, CITY OF",11/4/09,,,,,,
,,"ANDALUSIA, CITY OF Total",,,,,,,
,,"BABBIE, TOWN OF",11/4/09,,,,,,
,,"BABBIE, TOWN OF Total",,,,,,,
,,"CAROLINA, TOWN OF",11/4/09,,,,,,
,,"CAROLINA, TOWN OF Total",,,,,,,
,,COVINGTON COUNTY ALL JURISDICTIONS,11/4/09,,,,,,
,,COVINGTON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,COVINGTON COUNTY UNINCORPORATED AREAS,11/4/09,,,,,,
,,COVINGTON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"FLORALA, CITY OF",11/4/09,,,,,,
,,"FLORALA, CITY OF Total",,,,,,,
,,"GANTT, TOWN OF",11/4/09,,,,,,
,,"GANTT, TOWN OF Total",,,,,,,
,,"HEATH, TOWN OF",11/4/09,,,,,,
,,"HEATH, TOWN OF Total",,,,,,,
,,"HORN HILL, TOWN OF",11/4/09,,,,,,
,,"HORN HILL, TOWN OF Total",,,,,,,
,,"LIBERTYVILLE, TOWN OF",11/4/09,,,,,,
,,"LIBERTYVILLE, TOWN OF Total",,,,,,,
,,"LOCKHART, TOWN OF",11/4/09,,,,,,
,,"LOCKHART, TOWN OF Total",,,,,,,
,,"ONYCHA, TOWN OF",11/4/09,,,,,,
,,"ONYCHA, TOWN OF Total",,,,,,,
,,"OPP, CITY OF",11/4/09,,,,,,
,,"OPP, CITY OF Total",,,,,,,
,,"RED LEVEL, TOWN OF",11/4/09,,,,,,
,,"RED LEVEL, TOWN OF Total",,,,,,,
,,"RIVER FALLS, TOWN OF",11/4/09,,,,,,
,,"RIVER FALLS, TOWN OF Total",,,,,,,
,,"SANFORD, TOWN OF",11/4/09,,,,,,
,,"SANFORD, TOWN OF Total",,,,,,,
,COVINGTON COUNTY Total,,,,,,,,
,CRENSHAW COUNTY,"BRANTLEY, TOWN OF",10/16/09,,,,,,
,,"BRANTLEY, TOWN OF Total",,,,,,,
,,CRENSHAW COUNTY ALL JURISDICTIONS,10/16/09,,,,,,
,,CRENSHAW COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CRENSHAW COUNTY UNINCORPORATED AREAS,10/16/09,,,,,,
,,CRENSHAW COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"DOZIER, TOWN OF",10/16/09,,,,,,
,,"DOZIER, TOWN OF Total",,,,,,,
,,"GLENWOOD, TOWN OF",10/16/09,,,,,,
,,"GLENWOOD, TOWN OF Total",,,,,,,
,,"LUVERNE, CITY OF",10/16/09,,,,,,
,,"LUVERNE, CITY OF Total",,,,,,,
,,"PETREY, TOWN OF",10/16/09,,,,,,
,,"PETREY, TOWN OF Total",,,,,,,
,,"RUTLEDGE, TOWN OF",10/16/09,,,,,,
,,"RUTLEDGE, TOWN OF Total",,,,,,,
,CRENSHAW COUNTY Total,,,,,,,,
,CULLMAN COUNTY,"BAILEYTON, TOWN OF",5/24/11,,,,,,
,,"BAILEYTON, TOWN OF Total",,,,,,,
,,"COLONY, TOWN OF",5/24/11,,,,,,
,,"COLONY, TOWN OF Total",,,,,,,
,,CULLMAN COUNTY ALL JURISDICTIONS,5/24/11,,,,,,
,,CULLMAN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CULLMAN COUNTY UNINCORPORATED AREAS,5/24/11,,,,,,
,,CULLMAN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CULLMAN, CITY OF",5/24/11,,,,,,
,,"CULLMAN, CITY OF Total",,,,,,,
,,"DODGE CITY, TOWN OF",5/24/11,,,,,,
,,"DODGE CITY, TOWN OF Total",,,,,,,
,,"FAIRVIEW, TOWN OF",5/24/11,,,,,,
,,"FAIRVIEW, TOWN OF Total",,,,,,,
,,"GARDEN CITY, TOWN OF",5/24/11,,,,,,
,,"GARDEN CITY, TOWN OF Total",,,,,,,
,,"GOOD HOPE, TOWN OF",5/24/11,,,,,,
,,"GOOD HOPE, TOWN OF Total",,,,,,,
,,"HANCEVILLE, CITY OF",5/24/11,,,,,,
,,"HANCEVILLE, CITY OF Total",,,,,,,
,,"HOLLY POND, TOWN OF",5/24/11,,,,,,
,,"HOLLY POND, TOWN OF Total",,,,,,,
,,"SOUTH VINEMONT, TOWN OF",5/24/11,,,,,,
,,"SOUTH VINEMONT, TOWN OF Total",,,,,,,
,,"WEST POINT, TOWN OF",5/24/11,,,,,,
,,"WEST POINT, TOWN OF Total",,,,,,,
,CULLMAN COUNTY Total,,,,,,,,
,DALE COUNTY,"ARITON, TOWN OF",5/2/16,,,,,,
,,"ARITON, TOWN OF Total",,,,,,,
,,"CLAYHATCHEE, TOWN OF",5/2/16,,,,,,
,,"CLAYHATCHEE, TOWN OF Total",,,,,,,
,,DALE COUNTY ALL JURISDICTIONS,5/2/16,,,,,,
,,DALE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,DALE COUNTY UNINCORPORATED AREAS,5/2/16,,,,,,
,,DALE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"DALEVILLE, CITY OF",5/2/16,,,,,,
,,"DALEVILLE, CITY OF Total",,,,,,,
,,"DOTHAN, CITY OF",9/3/14,,,,,,
,,"DOTHAN, CITY OF Total",,,,,,,
,,"FORT RUCKER, CITY OF",5/2/16,,,,,,
,,"FORT RUCKER, CITY OF Total",,,,,,,
,,"GRIMES, TOWN OF",5/2/16,,,,,,
,,"GRIMES, TOWN OF Total",,,,,,,
,,"LEVEL PLAINS, CITY OF",5/2/16,,,,,,
,,"LEVEL PLAINS, CITY OF Total",,,,,,,
,,"MIDLAND CITY, CITY OF",5/2/16,,,,,,
,,"MIDLAND CITY, CITY OF Total",,,,,,,
,,"NAPIER FIELD, TOWN OF",5/2/16,,,,,,
,,"NAPIER FIELD, TOWN OF Total",,,,,,,
,,"NEWTON, TOWN OF",5/2/16,,,,,,
,,"NEWTON, TOWN OF Total",,,,,,,
,,"OZARK, CITY OF",5/2/16,,,,,,
,,"OZARK, CITY OF Total",,,,,,,
,,"PINCKARD, TOWN OF",5/2/16,,,,,,
,,"PINCKARD, TOWN OF Total",,,,,,,
,DALE COUNTY Total,,,,,,,,
,DALLAS COUNTY,DALLAS COUNTY ALL JURISDICTIONS,9/3/14,,,,,,
,,DALLAS COUNTY ALL JURISDICTIONS Total,,,,,,,
,,DALLAS COUNTY UNINCORPORATED AREAS,9/3/14,,,,,,
,,DALLAS COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"ORRVILLE,TOWN OF",2/17/10,,,,,,
,,"ORRVILLE,TOWN OF Total",,,,,,,
,,"SELMA, CITY OF",9/3/14,,,,,,
,,"SELMA, CITY OF Total",,,,,,,
,,"VALLEY GRANDE, CITY OF",9/3/14,,,,,,
,,"VALLEY GRANDE, CITY OF Total",,,,,,,
,DALLAS COUNTY Total,,,,,,,,
,DEKALB COUNTY,"COLLINSVILLE, TOWN OF",9/29/11,,,,,,
,,"COLLINSVILLE, TOWN OF Total",,,,,,,
,,"CROSSVILLE, TOWN OF",9/29/11,,,,,,
,,"CROSSVILLE, TOWN OF Total",,,,,,,
,,DE KALB COUNTY UNINCORPORATED AREAS,9/29/11,,,,,,
,,DE KALB COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,DEKALB COUNTY ALL JURISDICTIONS,9/29/11,,,,,,
,,DEKALB COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"FORT PAYNE, CITY OF",9/29/11,,,,,,
,,"FORT PAYNE, CITY OF Total",,,,,,,
,,"FYFFE, TOWN OF",9/29/11,,,,,,
,,"FYFFE, TOWN OF Total",,,,,,,
,,"GERALDINE, TOWN OF",9/29/11,,,,,,
,,"GERALDINE, TOWN OF Total",,,,,,,
,,"HAMMONDVILLE, TOWN OF",9/29/11,,,,,,
,,"HAMMONDVILLE, TOWN OF Total",,,,,,,
,,"HENAGAR, TOWN OF",9/29/11,,,,,,
,,"HENAGAR, TOWN OF Total",,,,,,,
,,"IDER, TOWN OF",9/29/11,,,,,,
,,"IDER, TOWN OF Total",,,,,,,
,,"LAKEVIEW, TOWN OF",9/29/11,,,,,,
,,"LAKEVIEW, TOWN OF Total",,,,,,,
,,"MENTONE, TOWN OF",9/29/11,,,,,,
,,"MENTONE, TOWN OF Total",,,,,,,
,,"PINE RIDGE, CITY OF",9/29/11,,,,,,
,,"PINE RIDGE, CITY OF Total",,,,,,,
,,"POWELL, TOWN OF",9/29/11,,,,,,
,,"POWELL, TOWN OF Total",,,,,,,
,,"RAINSVILLE, CITY OF",9/29/11,,,,,,
,,"RAINSVILLE, CITY OF Total",,,,,,,
,,"SHILOH, TOWN OF",9/29/11,,,,,,
,,"SHILOH, TOWN OF Total",,,,,,,
,,"SYLVANIA, TOWN OF",9/29/11,,,,,,
,,"SYLVANIA, TOWN OF Total",,,,,,,
,,"VALLEY HEAD, TOWN OF",9/29/11,,,,,,
,,"VALLEY HEAD, TOWN OF Total",,,,,,,
,DEKALB COUNTY Total,,,,,,,,
,ELMORE COUNTY,"COOSADA, TOWN OF",9/3/14,,,,,,
,,"COOSADA, TOWN OF Total",,,,,,,
,,"DEATSVILLE, TOWN OF",9/3/14,,,,,,
