Blended_Account,Year,Value
Complications of pregnancy; childbirth; and the puerperium,2004,30.35
Diseases of the skin and subcutaneous organs,2004,27.45
Diseases of the musculoskeletal system and connective tissue,2004,119.87
Injury and poisoning,2004,82.88
Symptoms; signs; and ill-defined conditions ,2004,142.94
Diseases of the blood and blood-forming organs,2004,14.38
Congenital anomalies ,2004,5.68
Certain conditions originating in the perinatal period,2004,4.67
Residual codes; unclassified; all E codes,2004,20.73
Infectious and parasitic diseases,2005,35.45
Neoplasms,2005,88.53
Endocrine; nutritional; and metabolic diseases and immunity disorders,2005,94.58
Mental illness ,2005,58.09
Diseases of the nervous system and sense organs,2005,83.68
Diseases of the circulatory system,2005,207.39
Diseases of the respiratory system,2005,123.71
Diseases of the digestive system,2005,80.22
Diseases of the genitourinary system,2005,83.68
Complications of pregnancy; childbirth; and the puerperium,2005,29.49
Diseases of the skin and subcutaneous organs,2005,28.44
Diseases of the musculoskeletal system and connective tissue,2005,126.5
Injury and poisoning,2005,84.63
Symptoms; signs; and ill-defined conditions ,2005,150.22
Diseases of the blood and blood-forming organs,2005,19.58
Congenital anomalies ,2005,5.35
Certain conditions originating in the perinatal period,2005,5.49
Residual codes; unclassified; all E codes,2005,23.36
Infectious and parasitic diseases,2006,37.96
Neoplasms,2006,95.42
Endocrine; nutritional; and metabolic diseases and immunity disorders,2006,103.87
Mental illness ,2006,61.26
Diseases of the nervous system and sense organs,2006,90.9
Diseases of the circulatory system,2006,214.48
Diseases of the respiratory system,2006,127.04
Diseases of the digestive system,2006,84.93
Diseases of the genitourinary system,2006,88.14
Complications of pregnancy; childbirth; and the puerperium,2006,32.43
Diseases of the skin and subcutaneous organs,2006,30.64
Diseases of the musculoskeletal system and connective tissue,2006,134.3
Injury and poisoning,2006,93.03
Symptoms; signs; and ill-defined conditions ,2006,162.6
Diseases of the blood and blood-forming organs,2006,22.02
Congenital anomalies ,2006,5.57
Certain conditions originating in the perinatal period,2006,5.03
Residual codes; unclassified; all E codes,2006,26.48
Infectious and parasitic diseases,2007,42.39
Neoplasms,2007,100.34
Endocrine; nutritional; and metabolic diseases and immunity disorders,2007,111.14
Mental illness ,2007,65.49
Diseases of the nervous system and sense organs,2007,98.71
Diseases of the circulatory system,2007,213.77
Diseases of the respiratory system,2007,132.04
Diseases of the digestive system,2007,85.31
Diseases of the genitourinary system,2007,91.36
Complications of pregnancy; childbirth; and the puerperium,2007,34.15
Diseases of the skin and subcutaneous organs,2007,32.02
Diseases of the musculoskeletal system and connective tissue,2007,137.84
Injury and poisoning,2007,95.9
Symptoms; signs; and ill-defined conditions ,2007,176.06
Diseases of the blood and blood-forming organs,2007,43
Congenital anomalies ,2007,7.14
Certain conditions originating in the perinatal period,2007,6.95
Residual codes; unclassified; all E codes,2007,29.09
Infectious and parasitic diseases,2008,47.84
Neoplasms,2008,105.86
Endocrine; nutritional; and metabolic diseases and immunity disorders,2008,116.95
Mental illness ,2008,71.91
Diseases of the nervous system and sense organs,2008,106.02
Diseases of the circulatory system,2008,221.47
Diseases of the respiratory system,2008,140.51
Diseases of the digestive system,2008,88.34
Diseases of the genitourinary system,2008,96.01
Complications of pregnancy; childbirth; and the puerperium,2008,35.69
Diseases of the skin and subcutaneous organs,2008,35.66
Diseases of the musculoskeletal system and connective tissue,2008,147.12
Injury and poisoning,2008,102.33
Symptoms; signs; and ill-defined conditions ,2008,186.82
Diseases of the blood and blood-forming organs,2008,22.91
Congenital anomalies ,2008,10.02
Certain conditions originating in the perinatal period,2008,9.39
Residual codes; unclassified; all E codes,2008,30.67
Infectious and parasitic diseases,2009,54.72
Neoplasms,2009,114.24
Endocrine; nutritional; and metabolic diseases and immunity disorders,2009,120.3
Mental illness ,2009,76.23
Diseases of the nervous system and sense organs,2009,112.26
Diseases of the circulatory system,2009,228.4
Diseases of the respiratory system,2009,143.27
Diseases of the digestive system,2009,95.42
Diseases of the genitourinary system,2009,103.84
Complications of pregnancy; childbirth; and the puerperium,2009,36.83
Diseases of the skin and subcutaneous organs,2009,37.78
Diseases of the musculoskeletal system and connective tissue,2009,157.43
Injury and poisoning,2009,104.53
Symptoms; signs; and ill-defined conditions ,2009,199.09
Diseases of the blood and blood-forming organs,2009,21.4
Congenital anomalies ,2009,9.38
Certain conditions originating in the perinatal period,2009,8.28
Residual codes; unclassified; all E codes,2009,33
Infectious and parasitic diseases,2010,59.14
Neoplasms,2010,116
Endocrine; nutritional; and metabolic diseases and immunity disorders,2010,125.4
Mental illness ,2010,79.11
Diseases of the nervous system and sense organs,2010,119.52
Diseases of the circulatory system,2010,234.71
Diseases of the respiratory system,2010,144.6
Diseases of the digestive system,2010,100.81
Diseases of the genitourinary system,2010,104.57
Complications of pregnancy; childbirth; and the puerperium,2010,39.42
Diseases of the skin and subcutaneous organs,2010,38.19
Diseases of the musculoskeletal system and connective tissue,2010,170.65
Injury and poisoning,2010,109.91
Symptoms; signs; and ill-defined conditions ,2010,210.85
Diseases of the blood and blood-forming organs,2010,20.54
Congenital anomalies ,2010,7.69
Certain conditions originating in the perinatal period,2010,6.42
Residual codes; unclassified; all E codes,2010,34.86
Infectious and parasitic diseases,2011,63.35
Neoplasms,2011,121.21
Endocrine; nutritional; and metabolic diseases and immunity disorders,2011,131.03
Mental illness ,2011,82.72
Diseases of the nervous system and sense organs,2011,125.92
Diseases of the circulatory system,2011,233.6
Diseases of the respiratory system,2011,152.41
Diseases of the digestive system,2011,103.27
Diseases of the genitourinary system,2011,106.36
Complications of pregnancy; childbirth; and the puerperium,2011,41.14
Diseases of the skin and subcutaneous organs,2011,40.12
Diseases of the musculoskeletal system and connective tissue,2011,177.41
Injury and poisoning,2011,117.17
Symptoms; signs; and ill-defined conditions ,2011,226.5
Diseases of the blood and blood-forming organs,2011,30.11
Congenital anomalies ,2011,7.45
Certain conditions originating in the perinatal period,2011,7.51
Residual codes; unclassified; all E codes,2011,37.44
Infectious and parasitic diseases,2012,68.48
Neoplasms,2012,124.4
Endocrine; nutritional; and metabolic diseases and immunity disorders,2012,136.62
Mental illness ,2012,87.65
Diseases of the nervous system and sense organs,2012,131.17
Diseases of the circulatory system,2012,234.88
Diseases of the respiratory system,2012,157.3
Diseases of the digestive system,2012,108.08
Diseases of the genitourinary system,2012,109.49
Complications of pregnancy; childbirth; and the puerperium,2012,44.74
Diseases of the skin and subcutaneous organs,2012,42.83
Diseases of the musculoskeletal system and connective tissue,2012,183.44
Injury and poisoning,2012,118.58
Symptoms; signs; and ill-defined conditions ,2012,238.78
Diseases of the blood and blood-forming organs,2012,41.77
Congenital anomalies ,2012,7.36
Certain conditions originating in the perinatal period,2012,8.93
Residual codes; unclassified; all E codes,2012,40.71
Infectious and parasitic diseases,2013,71.38
Neoplasms,2013,126.36
Endocrine; nutritional; and metabolic diseases and immunity disorders,2013,141.91
Mental illness ,2013,89.54
Diseases of the nervous system and sense organs,2013,135.97
Diseases of the circulatory system,2013,234.73
Diseases of the respiratory system,2013,161.49
Diseases of the digestive system,2013,114.51
Diseases of the genitourinary system,2013,114.05
Complications of pregnancy; childbirth; and the puerperium,2013,47.52
Diseases of the skin and subcutaneous organs,2013,45.38
Diseases of the musculoskeletal system and connective tissue,2013,190.79
Injury and poisoning,2013,118.66
Symptoms; signs; and ill-defined conditions ,2013,252.44
Diseases of the blood and blood-forming organs,2013,32.37
Congenital anomalies ,2013,7.65
Certain conditions originating in the perinatal period,2013,9.35
Residual codes; unclassified; all E codes,2013,40.78
Infectious and parasitic diseases,2014,85.36
Neoplasms,2014,137.4
Endocrine; nutritional; and metabolic diseases and immunity disorders,2014,157.53
Mental illness ,2014,101.53
Diseases of the nervous system and sense organs,2014,146.4
Diseases of the circulatory system,2014,245.32
Diseases of the respiratory system,2014,162.47
Diseases of the digestive system,2014,120.81
Diseases of the genitourinary system,2014,120.88
Complications of pregnancy; childbirth; and the puerperium,2014,47.43
Diseases of the skin and subcutaneous organs,2014,48.45
Diseases of the musculoskeletal system and connective tissue,2014,201.79
Injury and poisoning,2014,124.56
Symptoms; signs; and ill-defined conditions ,2014,266.35
Diseases of the blood and blood-forming organs,2014,22.12
Congenital anomalies ,2014,7.84
Certain conditions originating in the perinatal period,2014,7.91
Residual codes; unclassified; all E codes,2014,42.86
