Diseases of the skin and subcutaneous organs,2006,30.64,,,,,,
Diseases of the musculoskeletal system and connective tissue,2006,134.3,,,,,,
Injury and poisoning,2006,93.03,,,,,,
Symptoms; signs; and ill-defined conditions ,2006,162.6,,,,,,
Diseases of the blood and blood-forming organs,2006,22.02,,,,,,
Congenital anomalies ,2006,5.57,,,,,,
Certain conditions originating in the perinatal period,2006,5.03,,,,,,
Residual codes; unclassified; all E codes,2006,26.48,,,,,,
Infectious and parasitic diseases,2007,42.39,,,,,,
Neoplasms,2007,100.34,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2007,111.14,,,,,,
Mental illness ,2007,65.49,,,,,,
Diseases of the nervous system and sense organs,2007,98.71,,,,,,
Diseases of the circulatory system,2007,213.77,,,,,,
Diseases of the respiratory system,2007,132.04,,,,,,
Diseases of the digestive system,2007,85.31,,,,,,
Diseases of the genitourinary system,2007,91.36,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2007,34.15,,,,,,
Diseases of the skin and subcutaneous organs,2007,32.02,,,,,,
Diseases of the musculoskeletal system and connective tissue,2007,137.84,,,,,,
Injury and poisoning,2007,95.9,,,,,,
Symptoms; signs; and ill-defined conditions ,2007,176.06,,,,,,
Diseases of the blood and blood-forming organs,2007,43,,,,,,
Congenital anomalies ,2007,7.14,,,,,,
Certain conditions originating in the perinatal period,2007,6.95,,,,,,
Residual codes; unclassified; all E codes,2007,29.09,,,,,,
Infectious and parasitic diseases,2008,47.84,,,,,,
Neoplasms,2008,105.86,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2008,116.95,,,,,,
Mental illness ,2008,71.91,,,,,,
Diseases of the nervous system and sense organs,2008,106.02,,,,,,
Diseases of the circulatory system,2008,221.47,,,,,,
Diseases of the respiratory system,2008,140.51,,,,,,
Diseases of the digestive system,2008,88.34,,,,,,
Diseases of the genitourinary system,2008,96.01,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2008,35.69,,,,,,
Diseases of the skin and subcutaneous organs,2008,35.66,,,,,,
Diseases of the musculoskeletal system and connective tissue,2008,147.12,,,,,,
Injury and poisoning,2008,102.33,,,,,,
Symptoms; signs; and ill-defined conditions ,2008,186.82,,,,,,
Diseases of the blood and blood-forming organs,2008,22.91,,,,,,
Congenital anomalies ,2008,10.02,,,,,,
Certain conditions originating in the perinatal period,2008,9.39,,,,,,
Residual codes; unclassified; all E codes,2008,30.67,,,,,,
